DefaultSC.A1ModJulian     DefaultSC.ElapsedSecs     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   
31257.67831451368         969.3396128132008         2803.035383071472           5798.579912777353           1552.624881191325           -7.03452023318615            3.161315129005075            0.8439706228299699           
31257.67843799518         980.008414958138          2727.768607862176           5831.853584678721           1561.507169231404           -7.074992041318926           3.076167725938106            0.8211031114649477           
31257.67855959015         990.5142204137519         2653.235493995096           5863.728684914336           1570.014675764611           -7.113767487021057           2.991847532387846            0.798458146372061            
31257.67869819061         1002.489299734589         2567.789383467248           5898.978066587149           1579.420988805835           -7.156653564324857           2.895177931763412            0.7724971143275611           
31257.67882799367         1013.70428429218          2487.308399489236           5930.93731250706            1587.947536694023           -7.19554251977933            2.804122287162438            0.7480442085974497           
31257.67891754754         1021.441738237627         2431.531834303654           5952.390084121735           1593.669970476538           -7.221650249111336           2.741015138883874            0.7310971176896263           
31257.6790173059          1030.060860794038         2369.164690572302           5975.711322012101           1599.889774325234           -7.250035177696936           2.670449358994306            0.7121473180209865           
31257.67912303627         1039.19596450869          2302.800504782545           5999.763406355892           1606.303273382568           -7.279313508420195           2.595358917730579            0.691982774393016            
31257.67923262855         1048.664738272782         2233.734107843035           6023.968529651303           1612.756213456615           -7.308782421917576           2.5172085532433              0.6709968747583998           
31257.67935023145         1058.82562820334          2159.313913015848           6049.118080003404           1619.459335241142           -7.339406112132756           2.43299747958288             0.6483838777684476           
31257.67946878134         1069.068339129444         2083.984882877532           6073.602310399016           1625.983397977929           -7.369225005206692           2.34775507753494             0.6254943668499855           
31257.67962465984         1082.536241586786         1984.481658004147           6104.464036286418           1634.204063186482           -7.406819310181772           2.235152592731205            0.595258721213772            
31257.67978915791         1096.748874778859         1878.941085766406           6135.383383687084           1642.436544653817           -7.444494474948261           2.115712272510558            0.5631878427941847           
31257.67991058014         1107.239755312912         1800.701860619386           6157.114877828102           1648.220243931341           -7.470981593220231           2.027165089957293            0.5394126363626692           
31257.68002662729         1117.266228853259         1725.67177520164            6177.014711762447           1653.514408757211           -7.495242283157437           1.942246779527425            0.5166122530970639           
31257.68012785241         1126.012079499196         1660.030081233961           6193.676573523903           1657.945432155076           -7.51556044717678            1.867951678795209            0.4966645517346788           
31257.68022523984         1134.426353161689         1596.712477424124           6209.092645006386           1662.043585038557           -7.534364010004685           1.796284843815004            0.4774228542984352           
31257.68031661385         1142.321067745797         1537.163386072318           6223.007836756452           1665.741294911064           -7.551341103568618           1.728881462317776            0.4593261454914651           
31257.68040892722         1150.296942936257         1476.868608560294           6236.525105557977           1669.331776494885           -7.567836993837485           1.66063207122212             0.441002597921823            
31257.68051711309         1159.644201945048         1406.042945643617           6251.672923454124           1673.353387214081           -7.586328395846282           1.580459923003393            0.4194784279601931           
31257.68061845172         1168.399860046338         1339.546849864765           6265.181475295588           1676.937758868951           -7.602824456923249           1.505186175663832            0.3992697417943527           
31257.68071810015         1177.009484125301         1274.022363054231           6277.821357253781           1680.289625812108           -7.618265410933247           1.431009895351411            0.3793560639733914           
31257.68082187354         1185.975504631642         1205.647816071732           6290.304930698871           1683.597813817234           -7.633521669040224           1.353604685162531            0.3585759323055424           
31257.68091263527         1193.817318615038         1145.737127031199           6300.653783561721           1686.338327281426           -7.64617455589896            1.285779056495663            0.3403678643201841           
31257.68100139286         1201.485974527895         1087.055799496359           6310.259310543961           1688.880125051395           -7.657923822382594           1.219343244493594            0.3225332076212963           
31257.68109021683         1209.160365234129         1028.242760877288           6319.361583287283           1691.2867981687             -7.669062916156324           1.152756362143522            0.3046583064095964           
31257.68119140189         1217.902754573151         961.1440764424348           6329.107435923999           1693.861119475322           -7.680996520116058           1.076786245077581            0.2842649081108818           
31257.68129251067         1226.63855322171          893.9952824626253           6338.182016808852           1696.255278122721           -7.692115958472026           1.000756817722176            0.2638560021528802           
31257.68137494256         1233.760668395553         839.18066984034             6345.08854333299            1698.075173609981           -7.700584956306835           0.9386908850549294           0.2471956871892052           
31257.68145401082         1240.592166117858         786.5478347188978           6351.297673440929           1699.709256507652           -7.708204335300417           0.8790937212867161           0.2311983271458141           
31257.68154264906         1248.250510089565         727.4849007848155           6357.774025767337           1701.411123682877           -7.716158500575331           0.8122137217603012           0.2132463851593527           
31257.68162706847         1255.544347199611         671.1786336957309           6363.465687823066           1702.904103338602           -7.723156155665107           0.7484533464888522           0.1961321237839889           
31257.68171908313         1263.494413776789         609.7508195938063           6369.139473486346           1704.389159606872           -7.730140519199416           0.6788912919496722           0.1774609521663029           
31257.68179339051         1269.914571067784         560.1053353395678           6373.317608794061           1705.480051971804           -7.735290966040732           0.6226701567407205           0.1623708897066427           
31257.68186557643         1276.151434681378         511.8468708088826           6377.030707291192           1706.446998595646           -7.739874906122052           0.5680183602735085           0.1477022791799865           
31257.68195561084         1283.930407650769         451.618192697382            6381.184036542971           1707.524772803034           -7.745012495341927           0.499808586599034            0.1293950156455123           
31257.68204981701         1292.069820477627         388.5587886959578           6384.961565902546           1708.499972436074           -7.749698674935794           0.4283906626551701           0.110227086695125            
31257.68214265129         1300.090703030583         326.3831571230598           6388.115249805374           1709.308302066403           -7.753626394643589           0.3579713238921433           0.09132756501080164          
31257.68224509008         1308.941414428409         257.7417717760234           6390.939529387187           1710.024287382374           -7.757164827488796           0.2802262509600647           0.07046238552031028          
31257.68233754908         1316.929871903267         195.7636448497617           6392.897724356369           1710.511926200758           -7.759641413755092           0.2100257134840653           0.0516224260824318           
31257.68243643165         1325.473325676285         129.4608576328764           6394.371271076277           1710.86686786739            -7.761536777007668           0.1349241912544814           0.03146762129313646          
31257.68253018634         1333.573730592616         66.58442920327401           6395.175752595875           1711.044356785922           -7.762614556152457           0.06370123976553409          0.01235413253791158          
31257.6826218836          1341.496374516282         5.082062786465595           6395.40445789767            1711.068173996531           -7.762991253138276           -0.005967602049052249        -0.006341879527964985        
31257.68270567902         1348.736298910808         -51.12086892822924          6395.130777956911           1710.960411164051           -7.762749596154452           -0.06963537800220652         -0.02342711096429329         
